Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,116.3,-91,90,top
C2,0.1uF,C_0402_1005Metric,112.4,-87.92,90,top
C3,0.1uF,C_0402_1005Metric,116.68,-92.66,0,top
C4,0.1uF,C_0402_1005Metric,115.3,-90.98,90,top
C5,0.1uF,C_0402_1005Metric,117.76,-97.18,0,top
C6,0.1uF,C_0402_1005Metric,106.74,-92.7,180,top
C7,0.1uF,C_0402_1005Metric,106.13,-97.71,180,top
C8,0.1uF,C_0402_1005Metric,113.8,-102.48,-90,top
C9,0.1uF,C_0402_1005Metric,113.5,-86.88,90,top
C10,1uF,C_0402_1005Metric,115,-102.5,-90,top
C11,0.1uF,C_0402_1005Metric,111.2,-87.9,90,top
C12,0.1uF,C_0402_1005Metric,114.3,-90.81,90,top
C13,10uF,C_0603_1608Metric,108.115,-75.34,180,top
C14,10uF,C_0603_1608Metric,109,-80.9,180,top
C15,33pF,C_0402_1005Metric,108.4,-104.62,-90,top
C16,33pF,C_0402_1005Metric,113.67,-105.29,90,top
C17,0.1uF,C_0402_1005Metric,109.52,-87.3,180,top
D1,SK6812MINI,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,113.9,-110.7,90,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,111.58,-69.2,180,top
J2,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,102.71,-68.07,0,top
J3,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,120.49,-68.07,0,top
J4,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,109.06,-116.09,90,top
R1,5.1k,R_0402_1005Metric,113.06,-75.57,-90,top
R2,5.1k,R_0402_1005Metric,110.19,-75.56,-90,top
R3,27,R_0402_1005Metric,112.26,-90.59,-90,top
R4,27,R_0402_1005Metric,113.35,-90.585,-90,top
R5,1K,R_0402_1005Metric,111.96,-102.39,0,top
R6,1K,R_0402_1005Metric,108.23,-107.28,180,top
R7,10K,R_0402_1005Metric,107.48,-87.31,0,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,108.4,-110.79,90,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,111.6,-96.2,0,top
U3,W25Q16JVZPIQ TR,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,108.367102,-89.25,0,top
U4,MCP1700x-330xxTT,SOT-23,109.02,-78.0975,90,top
Y1,12 MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,111.045,-104.94,180,top